"","species_id","hindfoot_half"
"1","NL",16
"2","NL",15.5
"3","NL",16
"4","NL",17
"5","NL",16
"6","NL",16.5
"7","NL",16
"8","NL",16
"9","NL",16.5
"10","NL",15
"11","NL",16.5
"12","NL",15.5
"13","NL",16.5
"14","NL",15
"15","NL",17
"16","NL",17
"17","NL",16
"18","NL",17
"19","NL",16.5
"20","NL",15.5
"21","NL",16
"22","NL",16.5
"23","NL",15
"24","NL",16.5
"25","NL",15.5
"26","NL",16.5
"27","NL",15
"28","NL",16
"29","NL",16
"30","NL",16
"31","NL",16.5
"32","NL",16
"33","NL",15.5
"34","NL",16
"35","NL",16
"36","NL",16
"37","NL",16
"38","NL",16
"39","NL",16.5
"40","NL",17.5
"41","NL",15.5
"42","NL",16
"43","NL",15
"44","NL",15
"45","NL",16
"46","NL",16
"47","NL",15.5
"48","NL",15.5
"49","NL",16.5
"50","NL",16
"51","NL",17
"52","NL",15.5
"53","NL",15.5
"54","NL",16
"55","NL",17
"56","NL",15.5
"57","NL",17
"58","NL",16
"59","NL",16.5
"60","NL",16.5
"61","NL",16
"62","NL",16.5
"63","NL",17
"64","NL",15
"65","NL",14
"66","NL",16
"67","NL",15
"68","NL",16
"69","NL",15
"70","NL",16.5
"71","NL",16
"72","NL",16.5
"73","NL",16
"74","NL",16.5
"75","NL",17
"76","NL",15
"77","NL",17
"78","NL",17
"79","NL",17
"80","NL",17
"81","NL",15.5
"82","NL",17
"83","NL",17.5
"84","NL",17.5
"85","NL",16.5
"86","NL",16.5
"87","NL",16.5
"88","NL",16.5
"89","NL",16.5
"90","NL",16.5
"91","NL",16.5
"92","NL",16.5
"93","NL",15.5
"94","NL",16.5
"95","NL",16.5
"96","NL",16
"97","NL",15.5
"98","NL",18
"99","NL",18
"100","NL",10.5
"101","NL",16
"102","NL",16.5
"103","NL",16
"104","NL",18.5
"105","NL",16
"106","NL",17.5
"107","NL",17
"108","NL",16
"109","NL",17.5
"110","NL",17
"111","NL",16
"112","NL",16
"113","NL",16.5
"114","NL",16.5
"115","NL",16.5
"116","NL",16.5
"117","NL",17
"118","NL",16
"119","NL",17
"120","NL",15
"121","NL",16.5
"122","NL",16.5
"123","NL",17
"124","NL",16.5
"125","NL",16.5
"126","NL",16.5
"127","NL",10.5
"128","NL",17
"129","NL",15.5
"130","NL",15
"131","NL",15
"132","NL",15.5
"133","NL",15
"134","NL",17
"135","NL",15.5
"136","NL",17
"137","NL",16
"138","NL",17
"139","NL",16.5
"140","NL",16.5
"141","NL",16
"142","NL",16.5
"143","NL",16.5
"144","NL",15
"145","NL",16.5
"146","NL",17
"147","NL",16.5
"148","NL",15.5
"149","NL",16.5
"150","NL",16.5
"151","NL",14.5
"152","NL",16
"153","NL",15.5
"154","NL",16.5
"155","NL",15.5
"156","NL",16
"157","NL",16.5
"158","NL",16
"159","NL",15
"160","NL",16.5
"161","NL",14.5
"162","NL",15.5
"163","NL",16.5
"164","NL",16.5
"165","NL",16
"166","NL",16.5
"167","NL",16
"168","NL",16
"169","NL",15
"170","NL",15.5
"171","NL",15.5
"172","NL",18
"173","NL",16.5
"174","NL",16.5
"175","NL",15
"176","DM",18.5
"177","DM",18.5
"178","DM",12.5
"179","DM",18.5
"180","DM",18
"181","DM",18.5
"182","DM",18
"183","DM",18
"184","DM",18.5
"185","DM",18.5
"186","DM",19
"187","DM",18
"188","DM",18.5
"189","DM",18.5
"190","DM",18.5
"191","DM",18
"192","DM",17.5
"193","DM",17.5
"194","DM",18
"195","DM",18
"196","DM",19
"197","DM",18
"198","DM",18.5
"199","DM",18
"200","DM",18.5
"201","DM",19
"202","DM",18.5
"203","DM",18.5
"204","DM",18
"205","DM",18.5
"206","DM",17.5
"207","DM",16.5
"208","DM",18.5
"209","DM",17.5
"210","DM",18.5
"211","DM",19
"212","DM",18
"213","DM",18.5
"214","DM",18
"215","DM",18
"216","DM",19
"217","DM",18.5
"218","DM",18
"219","DM",18.5
"220","DM",19
"221","DM",18
"222","DM",19
"223","DM",18
"224","DM",19
"225","DM",18
"226","DM",19
"227","DM",19
"228","DM",19
"229","DM",18.5
"230","DM",19
"231","DM",18
"232","DM",19
"233","DM",18.5
"234","DM",17.5
"235","DM",18
"236","DM",18.5
"237","DM",18
"238","DM",19.5
"239","DM",18.5
"240","DM",18
"241","DM",18.5
"242","DM",19
"243","DM",17.5
"244","DM",18.5
"245","DM",17.5
"246","DM",18.5
"247","DM",18.5
"248","DM",18
"249","DM",18
"250","DM",17.5
"251","DM",17
"252","DM",18
"253","DM",18
"254","DM",18
"255","DM",18.5
"256","DM",18
"257","DM",17.5
"258","DM",18
"259","DM",19
"260","DM",17.5
"261","DM",17.5
"262","DM",18
"263","DM",17.5
"264","DM",17.5
"265","DM",17
"266","DM",17.5
"267","DM",18
"268","DM",17
"269","DM",17
"270","DM",18.5
"271","DM",17.5
"272","DM",17
"273","DM",17
"274","DM",17.5
"275","DM",17.5
"276","DM",18.5
"277","DM",17.5
"278","DM",17.5
"279","DM",18.5
"280","DM",18.5
"281","DM",18
"282","DM",18.5
"283","DM",18
"284","DM",18.5
"285","DM",17.5
"286","DM",18.5
"287","DM",17
"288","DM",18
"289","DM",18
"290","DM",18
"291","DM",18.5
"292","DM",17
"293","DM",18
"294","DM",18.5
"295","DM",18.5
"296","DM",18.5
"297","DM",18.5
"298","DM",18
"299","DM",18.5
"300","DM",17.5
"301","DM",17.5
"302","DM",17
"303","DM",17.5
"304","DM",17.5
"305","DM",18
"306","DM",18.5
"307","DM",18
"308","DM",17
"309","DM",17
"310","DM",18
"311","DM",18.5
"312","DM",18.5
"313","DM",17.5
"314","DM",17
"315","DM",18
"316","DM",18.5
"317","DM",19
"318","DM",18
"319","DM",18
"320","DM",16.5
"321","DM",18
"322","DM",17.5
"323","DM",17.5
"324","DM",18
"325","DM",18.5
"326","DM",17.5
"327","DM",18
"328","DM",18.5
"329","DM",18.5
"330","DM",18
"331","DM",18
"332","DM",18
"333","DM",17.5
"334","DM",18
"335","DM",17
"336","DM",17.5
"337","DM",18
"338","DM",17
"339","DM",17.5
"340","DM",17.5
"341","DM",18
"342","DM",18.5
"343","DM",18
"344","DM",17.5
"345","DM",17.5
"346","DM",18
"347","DM",17.5
"348","DM",18.5
"349","DM",18
"350","DM",18.5
"351","DM",17
"352","DM",17.5
"353","DM",18.5
"354","DM",18
"355","DM",18.5
"356","DM",17.5
"357","DM",18.5
"358","DM",17.5
"359","DM",18.5
"360","DM",18
"361","DM",17.5
"362","DM",18
"363","DM",17.5
"364","DM",17
"365","DM",17.5
"366","DM",17.5
"367","DM",18
"368","DM",17.5
"369","DM",18
"370","DM",17.5
"371","DM",17.5
"372","DM",18.5
"373","DM",18
"374","DM",18.5
"375","DM",17.5
"376","DM",18.5
"377","DM",18.5
"378","DM",17.5
"379","DM",18
"380","DM",17.5
"381","DM",16.5
"382","DM",17.5
"383","DM",18
"384","DM",16
"385","DM",18
"386","DM",16.5
"387","DM",18.5
"388","DM",16
"389","DM",18
"390","DM",16.5
"391","DM",18.5
"392","DM",17.5
"393","DM",17.5
"394","DM",17
"395","DM",17.5
"396","DM",18.5
"397","DM",18.5
"398","DM",16.5
"399","DM",18.5
"400","DM",18.5
"401","DM",18.5
"402","DM",19
"403","DM",17
"404","DM",18.5
"405","DM",18.5
"406","DM",18
"407","DM",18.5
"408","DM",18.5
"409","DM",18.5
"410","DM",19
"411","DM",18
"412","DM",18.5
"413","DM",17.5
"414","DM",19
"415","DM",18.5
"416","DM",18
"417","DM",18
"418","DM",18
"419","DM",18.5
"420","DM",18.5
"421","DM",18.5
"422","DM",17
"423","DM",17.5
"424","DM",19
"425","DM",18.5
"426","DM",19
"427","DM",17
"428","DM",17
"429","DM",18.5
"430","DM",18.5
"431","DM",18.5
"432","DM",18.5
"433","DM",18.5
"434","DM",17.5
"435","DM",17.5
"436","DM",19
"437","DM",17
"438","DM",19
"439","DM",17.5
"440","DM",18
"441","DM",17.5
"442","DM",18.5
"443","DM",18
"444","DM",17.5
"445","DM",17.5
"446","DM",18
"447","DM",18.5
